page_original_gsc,page_original_ga4,normalized_page_url,normalized_page_path,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,ga4_sessions,ga4_engaged_sessions,ga4_conversions,data_source_match_type
https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,203.0,10862.0,0.01868900754925428,4.262935002761923,202.0,93.0,1.0,path_match
https://international-surrogacy.com/blog/priyanka-chopra-chooses-surrogacy,/blog/priyanka-chopra-chooses-surrogacy,https://international-surrogacy.com/blog/priyanka-chopra-chooses-surrogacy,/blog/priyanka-chopra-chooses-surrogacy,102.0,19764.0,0.0051608986035215545,5.135397692774742,114.0,35.0,0.0,path_match
https://international-surrogacy.com/,/,https://international-surrogacy.com/,/,98.0,5656.0,0.017326732673267328,10.973125884016973,448.0,201.0,26.0,path_match
https://international-surrogacy.com/blog/cameron-diaz-and-benji-madden,/blog/cameron-diaz-and-benji-madden,https://international-surrogacy.com/blog/cameron-diaz-and-benji-madden,/blog/cameron-diaz-and-benji-madden,98.0,20971.0,0.004673120022888751,3.6404558676267227,114.0,38.0,0.0,path_match
https://international-surrogacy.com/blog/egg-retrieval-after-hysterectomy,/blog/egg-retrieval-after-hysterectomy,https://international-surrogacy.com/blog/egg-retrieval-after-hysterectomy,/blog/egg-retrieval-after-hysterectomy,65.0,6483.0,0.010026222427888323,7.333950331636588,75.0,39.0,0.0,path_match
https://international-surrogacy.com/blog/emma-weymouth,/blog/emma-weymouth,https://international-surrogacy.com/blog/emma-weymouth,/blog/emma-weymouth,53.0,3589.0,0.014767344664251881,3.161604903872945,59.0,29.0,0.0,path_match
https://international-surrogacy.com/blog/through-surrogacy-ricky-martin,/blog/through-surrogacy-ricky-martin,https://international-surrogacy.com/blog/through-surrogacy-ricky-martin,/blog/through-surrogacy-ricky-martin,45.0,2494.0,0.018043303929430633,3.4723336006415395,47.0,13.0,0.0,path_match
https://international-surrogacy.com/blog/two-sons,/blog/two-sons,https://international-surrogacy.com/blog/two-sons,/blog/two-sons,31.0,4330.0,0.007159353348729792,3.7272517321016165,29.0,9.0,0.0,path_match
https://international-surrogacy.com/deutsch,/deutsch,https://international-surrogacy.com/deutsch,/deutsch,30.0,727.0,0.04126547455295736,13.00687757909216,63.0,36.0,5.0,path_match
https://international-surrogacy.com/blog/why-did-paris-hilton-use-a-surrogate,/blog/why-did-paris-hilton-use-a-surrogate,https://international-surrogacy.com/blog/why-did-paris-hilton-use-a-surrogate,/blog/why-did-paris-hilton-use-a-surrogate,27.0,8156.0,0.003310446297204512,4.1140264835703775,21.0,11.0,0.0,path_match
https://international-surrogacy.com/blog/a-story-of-love-and-family,/blog/a-story-of-love-and-family,https://international-surrogacy.com/blog/a-story-of-love-and-family,/blog/a-story-of-love-and-family,13.0,2299.0,0.005654632448890822,5.7181383210091346,17.0,9.0,0.0,path_match
https://international-surrogacy.com/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,https://international-surrogacy.com/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,10.0,1362.0,0.007342143906020558,5.91776798825257,12.0,7.0,0.0,path_match
https://international-surrogacy.com/blog/michelle-buteau-encouraged-surrogacy,/blog/michelle-buteau-encouraged-surrogacy,https://international-surrogacy.com/blog/michelle-buteau-encouraged-surrogacy,/blog/michelle-buteau-encouraged-surrogacy,10.0,563.0,0.017761989342806393,4.714031971580817,14.0,4.0,0.0,path_match
https://international-surrogacy.com/blog/surrogacy-in-ghana-for-single-men,/blog/surrogacy-in-ghana-for-single-men,https://international-surrogacy.com/blog/surrogacy-in-ghana-for-single-men,/blog/surrogacy-in-ghana-for-single-men,8.0,2290.0,0.0034934497816593887,4.475109170305677,12.0,5.0,0.0,path_match
https://international-surrogacy.com/blog/traveling-to-ukraine-for-surrogacy,/blog/traveling-to-ukraine-for-surrogacy,https://international-surrogacy.com/blog/traveling-to-ukraine-for-surrogacy,/blog/traveling-to-ukraine-for-surrogacy,7.0,1687.0,0.004149377593360996,4.627741553052756,10.0,5.0,2.0,path_match
https://international-surrogacy.com/us,/us,https://international-surrogacy.com/us,/us,7.0,1461.0,0.004791238877481177,17.28952772073922,15.0,12.0,3.0,path_match
https://international-surrogacy.com/blog/surrogacy-and-ivf-in-islam,/blog/surrogacy-and-ivf-in-islam,https://international-surrogacy.com/blog/surrogacy-and-ivf-in-islam,/blog/surrogacy-and-ivf-in-islam,6.0,1616.0,0.0037128712871287127,8.42079207920792,6.0,3.0,0.0,path_match
https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,/blog/cheapest-surrogacy-in-usa,https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,/blog/cheapest-surrogacy-in-usa,5.0,1273.0,0.003927729772191673,12.867242733699921,5.0,2.0,0.0,path_match
https://international-surrogacy.com/blog/ellen-kathleen-pompeo,/blog/ellen-kathleen-pompeo,https://international-surrogacy.com/blog/ellen-kathleen-pompeo,/blog/ellen-kathleen-pompeo,5.0,1100.0,0.004545454545454545,7.110909090909091,10.0,5.0,0.0,path_match
https://international-surrogacy.com/blog/jimmy-fallon,/blog/jimmy-fallon,https://international-surrogacy.com/blog/jimmy-fallon,/blog/jimmy-fallon,5.0,4017.0,0.0012447099825740602,3.6492407269106297,5.0,3.0,0.0,path_match
https://international-surrogacy.com/blog/key-supplements-to-enhance-female-fertility,/blog/key-supplements-to-enhance-female-fertility,https://international-surrogacy.com/blog/key-supplements-to-enhance-female-fertility,/blog/key-supplements-to-enhance-female-fertility,4.0,1112.0,0.0035971223021582736,4.599820143884893,5.0,2.0,1.0,path_match
https://international-surrogacy.com/blog/where-is-surrogacy-legal-in-europe,/blog/where-is-surrogacy-legal-in-europe,https://international-surrogacy.com/blog/where-is-surrogacy-legal-in-europe,/blog/where-is-surrogacy-legal-in-europe,4.0,745.0,0.005369127516778523,20.20671140939597,8.0,5.0,0.0,path_match
