normalized_page_path,normalized_page_url,current_gsc_clicks,previous_gsc_clicks,current_gsc_impressions,previous_gsc_impressions,current_ga4_sessions,previous_ga4_sessions,current_ga4_conversions,previous_ga4_conversions,click_delta,impression_delta,sessions_delta,conversions_delta,mover_score,movement_direction
/blog/average-weight-and-growth-chart-for-babies-toddlers-and-kids,https://international-surrogacy.com/blog/average-weight-and-growth-chart-for-babies-toddlers-and-kids,1.0,3.0,3353.0,4397.0,1.0,4.0,0.0,0.0,-2.0,-1044.0,-3.0,0.0,-106.10000000000001,down
/calculator-page,https://international-surrogacy.com/calculator-page,3.0,2.0,1028.0,1928.0,9.0,9.0,0.0,0.0,1.0,-900.0,0.0,0.0,-89.6,down
/blog/surrogacy-market-outlook-2026,https://international-surrogacy.com/blog/surrogacy-market-outlook-2026,0.0,0.0,2280.0,1446.0,4.0,0.0,0.0,0.0,0.0,834.0,4.0,0.0,84.60000000000001,up
/blog/through-surrogacy-ricky-martin,https://international-surrogacy.com/blog/through-surrogacy-ricky-martin,45.0,6.0,2494.0,1964.0,47.0,6.0,0.0,0.0,39.0,530.0,41.0,0.0,80.89999999999999,up
/surrogacy-single-men,https://international-surrogacy.com/surrogacy-single-men,4.0,0.0,630.0,672.0,35.0,1.0,7.0,0.0,4.0,-42.0,34.0,7.0,77.6,up
/blog/child-s-birth-certificate,https://international-surrogacy.com/blog/child-s-birth-certificate,0.0,0.0,233.0,994.0,1.0,0.0,0.0,0.0,0.0,-761.0,1.0,0.0,-75.80000000000001,down
/blog/how-much-are-egg-donors-paid-in-california,https://international-surrogacy.com/blog/how-much-are-egg-donors-paid-in-california,1.0,0.0,2701.0,1961.0,1.0,0.0,0.0,0.0,1.0,740.0,1.0,0.0,74.7,up
/surrogacy-ukraine-price,https://international-surrogacy.com/surrogacy-ukraine-price,1.0,0.0,430.0,1066.0,6.0,16.0,0.0,0.0,1.0,-636.0,-10.0,0.0,-66.2,down
/blog/from-angelina-jolie-to-neil-patrick-harris-celebrities-who-chose-surrogacy,https://international-surrogacy.com/blog/from-angelina-jolie-to-neil-patrick-harris-celebrities-who-chose-surrogacy,1.0,16.0,188.0,742.0,3.0,16.0,0.0,0.0,-15.0,-554.0,-13.0,0.0,-65.30000000000001,down
/blog/two-sons,https://international-surrogacy.com/blog/two-sons,31.0,8.0,4330.0,4951.0,29.0,36.0,0.0,0.0,23.0,-621.0,-7.0,0.0,-55.0,down
