normalized_page_path,normalized_page_url,inspection_verdict,inspection_coverage_state,inspection_indexing_state,inspection_page_fetch_state,inspection_robots_txt_state,inspection_google_canonical,inspection_user_canonical,inspection_last_crawl_time,inspection_error_message,has_issue,issue_types,recommended_action,recommended_action_text,source_type
/blog/a-mom-is-a-mom,https://international-surrogacy.com/blog/a-mom-is-a-mom,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/a-mom-is-a-mom,https://international-surrogacy.com/blog/a-mom-is-a-mom,2026-02-19T06:05:05Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/affordable-egg-donation,https://international-surrogacy.com/blog/affordable-egg-donation,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/affordable-egg-donation,https://international-surrogacy.com/blog/affordable-egg-donation,2026-03-09T23:06:43Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/after-35-years,https://international-surrogacy.com/blog/after-35-years,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/after-35-years,https://international-surrogacy.com/blog/after-35-years,2026-02-16T03:45:59Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/agency-or-clinic,https://international-surrogacy.com/blog/agency-or-clinic,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/agency-or-clinic,https://international-surrogacy.com/blog/agency-or-clinic,2025-12-26T09:16:27Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/amy-schumer-wishes-all-could-afford-ivf,https://international-surrogacy.com/blog/amy-schumer-wishes-all-could-afford-ivf,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/amy-schumer-wishes-all-could-afford-ivf,https://international-surrogacy.com/blog/amy-schumer-wishes-all-could-afford-ivf,2026-03-28T08:44:22Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/author/274-anton,https://international-surrogacy.com/blog/author/274-anton,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/birth-and-exit-documentation,https://international-surrogacy.com/blog/birth-and-exit-documentation,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/birth-and-exit-documentation,https://international-surrogacy.com/blog/birth-and-exit-documentation,2025-12-17T21:12:49Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/bonding-with-your-child,https://international-surrogacy.com/blog/bonding-with-your-child,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/bonding-with-your-child,https://international-surrogacy.com/blog/bonding-with-your-child,2025-10-16T19:00:06Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/california-couple-surrogacy,https://international-surrogacy.com/blog/california-couple-surrogacy,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/california-couple-surrogacy,https://international-surrogacy.com/blog/california-couple-surrogacy,2025-12-23T18:45:31Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/consider-surrogacy,https://international-surrogacy.com/blog/consider-surrogacy,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/consider-surrogacy,https://international-surrogacy.com/blog/consider-surrogacy,2025-12-30T23:38:12Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
