date_range,landing_page_plus_query_string,landing_page_plus_query_string_original,normalized_page_url,normalized_page_path,sessions,engaged_sessions,conversions
last_28_days,https://international-surrogacy.com/blog/delivering-dreams-surrogacy-media-coverage,/blog/delivering-dreams-surrogacy-media-coverage,https://international-surrogacy.com/blog/delivering-dreams-surrogacy-media-coverage,/blog/delivering-dreams-surrogacy-media-coverage,9.0,4.0,0.0
last_28_days,https://international-surrogacy.com/calculator-page,/calculator-page,https://international-surrogacy.com/calculator-page,/calculator-page,9.0,5.0,0.0
last_28_days,https://international-surrogacy.com/success-stories/reviews-of-ukraine,/success-stories/reviews-of-ukraine,https://international-surrogacy.com/success-stories/reviews-of-ukraine,/success-stories/reviews-of-ukraine,9.0,7.0,7.0
last_28_days,https://international-surrogacy.com/blog/kristen-wiig,/blog/kristen-wiig,https://international-surrogacy.com/blog/kristen-wiig,/blog/kristen-wiig,8.0,2.0,0.0
last_28_days,https://international-surrogacy.com/blog/michelle-buteau,/blog/michelle-buteau,https://international-surrogacy.com/blog/michelle-buteau,/blog/michelle-buteau,8.0,3.0,0.0
last_28_days,https://international-surrogacy.com/blog/when-to-stop-ivf-and-consider-surrogacy,/blog/when-to-stop-ivf-and-consider-surrogacy,https://international-surrogacy.com/blog/when-to-stop-ivf-and-consider-surrogacy,/blog/when-to-stop-ivf-and-consider-surrogacy,8.0,4.0,0.0
last_28_days,https://international-surrogacy.com/blog/where-is-surrogacy-legal-in-europe,/blog/where-is-surrogacy-legal-in-europe,https://international-surrogacy.com/blog/where-is-surrogacy-legal-in-europe,/blog/where-is-surrogacy-legal-in-europe,8.0,5.0,0.0
last_28_days,https://international-surrogacy.com/guarantees,/guarantees,https://international-surrogacy.com/guarantees,/guarantees,8.0,3.0,0.0
last_28_days,https://international-surrogacy.com/success-stories,/success-stories,https://international-surrogacy.com/success-stories,/success-stories,8.0,3.0,0.0
last_28_days,https://international-surrogacy.com/us/surrogacy-law-in-ukraine,/us/surrogacy-law-in-ukraine,https://international-surrogacy.com/us/surrogacy-law-in-ukraine,/us/surrogacy-law-in-ukraine,8.0,5.0,0.0
last_28_days,https://international-surrogacy.com/best-surrogacy-agency-in-ukraine,/best-surrogacy-agency-in-ukraine,https://international-surrogacy.com/best-surrogacy-agency-in-ukraine,/best-surrogacy-agency-in-ukraine,7.0,4.0,1.0
last_28_days,https://international-surrogacy.com/blog/the-history-of-surrogacy-from-ancient-times-to-modern-practices,/blog/the-history-of-surrogacy-from-ancient-times-to-modern-practices,https://international-surrogacy.com/blog/the-history-of-surrogacy-from-ancient-times-to-modern-practices,/blog/the-history-of-surrogacy-from-ancient-times-to-modern-practices,7.0,3.0,0.0
last_28_days,https://international-surrogacy.com/book-a-meeting,/book-a-meeting,https://international-surrogacy.com/book-a-meeting,/book-a-meeting,7.0,5.0,2.0
last_28_days,https://international-surrogacy.com/surrogacy-cost-calculator,/surrogacy-cost-calculator,https://international-surrogacy.com/surrogacy-cost-calculator,/surrogacy-cost-calculator,7.0,3.0,0.0
last_28_days,https://international-surrogacy.com/blog/surrogacy-and-ivf-in-islam,/blog/surrogacy-and-ivf-in-islam,https://international-surrogacy.com/blog/surrogacy-and-ivf-in-islam,/blog/surrogacy-and-ivf-in-islam,6.0,3.0,0.0
last_28_days,https://international-surrogacy.com/blog/surrogacy-for-uterine-factor-infertility,/blog/surrogacy-for-uterine-factor-infertility,https://international-surrogacy.com/blog/surrogacy-for-uterine-factor-infertility,/blog/surrogacy-for-uterine-factor-infertility,6.0,2.0,0.0
last_28_days,https://international-surrogacy.com/blog/ukraine-vs-georgia-surrogacy-exit-risks,/blog/ukraine-vs-georgia-surrogacy-exit-risks,https://international-surrogacy.com/blog/ukraine-vs-georgia-surrogacy-exit-risks,/blog/ukraine-vs-georgia-surrogacy-exit-risks,6.0,2.0,0.0
last_28_days,https://international-surrogacy.com/donor-database,/donor-database,https://international-surrogacy.com/donor-database,/donor-database,6.0,1.0,0.0
last_28_days,https://international-surrogacy.com/surrogacy-ukraine-price,/surrogacy-ukraine-price,https://international-surrogacy.com/surrogacy-ukraine-price,/surrogacy-ukraine-price,6.0,1.0,0.0
last_28_days,https://international-surrogacy.com/blog/age-limits-for-surrogacy,/blog/age-limits-for-surrogacy,https://international-surrogacy.com/blog/age-limits-for-surrogacy,/blog/age-limits-for-surrogacy,5.0,1.0,0.0
last_28_days,https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,/blog/cheapest-surrogacy-in-usa,https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,/blog/cheapest-surrogacy-in-usa,5.0,2.0,0.0
last_28_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq,/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,5.0,2.0,0.0
last_28_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=sge,/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=sge,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,5.0,3.0,1.0
last_28_days,https://international-surrogacy.com/blog/ethical-considerations-in-surrogacy,/blog/ethical-considerations-in-surrogacy,https://international-surrogacy.com/blog/ethical-considerations-in-surrogacy,/blog/ethical-considerations-in-surrogacy,5.0,3.0,0.0
last_28_days,https://international-surrogacy.com/blog/jimmy-fallon,/blog/jimmy-fallon,https://international-surrogacy.com/blog/jimmy-fallon,/blog/jimmy-fallon,5.0,3.0,0.0
last_28_days,https://international-surrogacy.com/blog/key-supplements-to-enhance-female-fertility,/blog/key-supplements-to-enhance-female-fertility,https://international-surrogacy.com/blog/key-supplements-to-enhance-female-fertility,/blog/key-supplements-to-enhance-female-fertility,5.0,2.0,1.0
last_28_days,https://international-surrogacy.com/blog/top-5-tv-shows-exploring-surrogacy,/blog/top-5-tv-shows-exploring-surrogacy,https://international-surrogacy.com/blog/top-5-tv-shows-exploring-surrogacy,/blog/top-5-tv-shows-exploring-surrogacy,5.0,2.0,0.0
last_28_days,https://international-surrogacy.com/blog/vs-single-embryo-transfers,/blog/vs-single-embryo-transfers,https://international-surrogacy.com/blog/vs-single-embryo-transfers,/blog/vs-single-embryo-transfers,5.0,3.0,0.0
last_28_days,https://international-surrogacy.com/blog/will-my-baby-look-like-me-using-donor-eggs,/blog/will-my-baby-look-like-me-using-donor-eggs,https://international-surrogacy.com/blog/will-my-baby-look-like-me-using-donor-eggs,/blog/will-my-baby-look-like-me-using-donor-eggs,5.0,2.0,0.0
last_28_days,,,,,4.0,0.0,0.0
last_28_days,https://international-surrogacy.com/blog/breastfeeding-and-surrogacy,/blog/breastfeeding-and-surrogacy,https://international-surrogacy.com/blog/breastfeeding-and-surrogacy,/blog/breastfeeding-and-surrogacy,4.0,1.0,0.0
