date,clicks,impressions,ctr,position
2026-02-04,26.0,5416.0,0.0048005908419497785,13.82145494830133
2026-02-05,28.0,7489.0,0.0037388169314995327,18.008545867271998
2026-02-06,27.0,5539.0,0.004874526087741469,13.716194258891496
2026-02-07,31.0,4990.0,0.006212424849699399,10.637474949899799
2026-02-08,20.0,7457.0,0.0026820437173125924,13.62531849269143
2026-02-09,50.0,7750.0,0.0064516129032258064,11.218322580645161
2026-02-10,32.0,5232.0,0.0061162079510703364,11.932530581039755
2026-02-11,29.0,4747.0,0.006109121550452918,13.10364440699389
2026-02-12,23.0,5584.0,0.0041189111747851,14.642908309455587
2026-02-13,28.0,5433.0,0.005153690410454629,11.67642186637217
2026-02-14,29.0,4725.0,0.006137566137566138,12.20021164021164
2026-02-15,34.0,5345.0,0.006361085126286249,13.786342376052385
2026-02-16,43.0,5384.0,0.007986627043090638,10.853083209509657
2026-02-17,48.0,6382.0,0.007521153243497336,10.10404261986838
2026-02-18,42.0,6804.0,0.006172839506172839,9.656084656084657
2026-02-19,36.0,6724.0,0.005353955978584176,11.33982748364069
2026-02-20,32.0,5659.0,0.0056547093125993994,10.47499558225835
2026-02-21,28.0,5866.0,0.00477326968973747,10.487896351858165
2026-02-22,35.0,5839.0,0.005994177085117315,15.128617914026375
2026-02-23,28.0,5069.0,0.005523771947129611,11.209114223712763
2026-02-24,27.0,4960.0,0.005443548387096774,10.967540322580644
2026-02-25,30.0,5983.0,0.005014206919605549,11.05181347150259
2026-02-26,33.0,6320.0,0.005221518987341772,12.244778481012657
2026-02-27,40.0,5887.0,0.0067946322405299815,12.566842194666213
2026-02-28,27.0,4734.0,0.005703422053231939,12.43303760033798
2026-03-01,37.0,5469.0,0.006765405010056683,14.549460596087036
2026-03-02,26.0,5187.0,0.005012531328320802,11.720647773279353
2026-03-03,30.0,6775.0,0.004428044280442804,9.806051660516605
