country,clicks,impressions,ctr,position
jor,2.0,69.0,0.028985507246376812,9.36231884057971
mar,2.0,160.0,0.0125,11.60625
pak,2.0,566.0,0.0035335689045936395,11.740282685512367
pan,2.0,76.0,0.02631578947368421,9.56578947368421
per,2.0,295.0,0.006779661016949152,7.884745762711864
pol,2.0,597.0,0.0033500837520938024,8.894472361809045
pri,2.0,95.0,0.021052631578947368,5.326315789473684
rou,2.0,362.0,0.0055248618784530384,12.096685082872929
rus,2.0,262.0,0.007633587786259542,10.423664122137405
tha,2.0,336.0,0.005952380952380952,12.303571428571429
tto,2.0,83.0,0.024096385542168676,5.144578313253012
ago,1.0,13.0,0.07692307692307693,21.53846153846154
aze,1.0,61.0,0.01639344262295082,9.59016393442623
bgr,1.0,174.0,0.005747126436781609,7.85632183908046
cyp,1.0,67.0,0.014925373134328358,11.044776119402986
cze,1.0,221.0,0.004524886877828055,8.013574660633484
gtm,1.0,85.0,0.011764705882352941,8.63529411764706
hrv,1.0,146.0,0.00684931506849315,6.767123287671233
irq,1.0,135.0,0.007407407407407408,14.088888888888889
isl,1.0,29.0,0.034482758620689655,6.9655172413793105
isr,1.0,208.0,0.004807692307692308,13.625
jpn,1.0,350.0,0.002857142857142857,8.634285714285713
lka,1.0,130.0,0.007692307692307693,10.476923076923077
ltu,1.0,99.0,0.010101010101010102,8.262626262626263
mwi,1.0,23.0,0.043478260869565216,3.0434782608695654
omn,1.0,57.0,0.017543859649122806,9.385964912280702
phl,1.0,1459.0,0.0006854009595613434,8.963673749143249
pry,1.0,73.0,0.0136986301369863,5.863013698630137
sau,1.0,361.0,0.002770083102493075,13.152354570637119
tkm,1.0,13.0,0.07692307692307693,4.153846153846153
tun,1.0,67.0,0.014925373134328358,13.164179104477611
uga,1.0,150.0,0.006666666666666667,4.453333333333333
ury,1.0,74.0,0.013513513513513514,6.445945945945946
zwe,1.0,95.0,0.010526315789473684,5.252631578947368
abw,0.0,5.0,0.0,5.4
afg,0.0,18.0,0.0,8.833333333333332
aia,0.0,3.0,0.0,7.0
ala,0.0,2.0,0.0,8.5
alb,0.0,64.0,0.0,6.71875
and,0.0,4.0,0.0,4.75
arm,0.0,34.0,0.0,11.5
asm,0.0,1.0,0.0,1.0
atg,0.0,7.0,0.0,9.285714285714286
bdi,0.0,2.0,0.0,3.5
ben,0.0,5.0,0.0,5.0
bes,0.0,3.0,0.0,6.0
bfa,0.0,3.0,0.0,5.666666666666667
bgd,0.0,570.0,0.0,10.87017543859649
bhr,0.0,32.0,0.0,11.09375
bhs,0.0,26.0,0.0,5.884615384615385
bih,0.0,52.0,0.0,9.384615384615385
blm,0.0,1.0,0.0,1.0
blr,0.0,39.0,0.0,9.128205128205128
blz,0.0,17.0,0.0,11.647058823529411
bmu,0.0,8.0,0.0,7.875
bol,0.0,37.0,0.0,11.216216216216216
brb,0.0,30.0,0.0,7.0
brn,0.0,13.0,0.0,9.23076923076923
btn,0.0,11.0,0.0,8.181818181818182
bwa,0.0,12.0,0.0,12.083333333333334
chn,0.0,126.0,0.0,9.634920634920634
civ,0.0,18.0,0.0,16.38888888888889
cmr,0.0,38.0,0.0,8.131578947368421
cod,0.0,7.0,0.0,13.428571428571429
cog,0.0,2.0,0.0,8.5
cok,0.0,2.0,0.0,15.5
cri,0.0,77.0,0.0,8.311688311688311
cuw,0.0,2.0,0.0,6.5
cym,0.0,14.0,0.0,6.357142857142857
dji,0.0,5.0,0.0,19.2
dma,0.0,1.0,0.0,7.0
dom,0.0,161.0,0.0,9.22360248447205
dza,0.0,231.0,0.0,10.913419913419913
est,0.0,62.0,0.0,6.112903225806452
eth,0.0,53.0,0.0,7.886792452830188
fji,0.0,14.0,0.0,5.214285714285714
fro,0.0,2.0,0.0,6.5
gab,0.0,4.0,0.0,6.5
geo,0.0,144.0,0.0,39.208333333333336
ggy,0.0,3.0,0.0,7.0
gib,0.0,4.0,0.0,13.5
gin,0.0,5.0,0.0,4.6
glp,0.0,1.0,0.0,18.0
gmb,0.0,5.0,0.0,5.6
gnq,0.0,1.0,0.0,11.0
grd,0.0,10.0,0.0,13.2
guf,0.0,1.0,0.0,4.0
gum,0.0,15.0,0.0,3.533333333333333
guy,0.0,25.0,0.0,25.76
hnd,0.0,78.0,0.0,11.564102564102564
hti,0.0,9.0,0.0,5.222222222222222
imn,0.0,8.0,0.0,2.375
irn,0.0,80.0,0.0,10.05
jam,0.0,96.0,0.0,6.25
jey,0.0,13.0,0.0,4.3076923076923075
kaz,0.0,61.0,0.0,11.049180327868852
kgz,0.0,21.0,0.0,9.714285714285714
khm,0.0,64.0,0.0,9.109375
kna,0.0,7.0,0.0,4.714285714285714
kor,0.0,627.0,0.0,12.94896331738437
kwt,0.0,38.0,0.0,9.973684210526315
lao,0.0,15.0,0.0,11.4
lbn,0.0,48.0,0.0,6.604166666666667
lbr,0.0,12.0,0.0,4.5
lby,0.0,31.0,0.0,7.838709677419355
lca,0.0,10.0,0.0,8.5
lie,0.0,2.0,0.0,9.5
lso,0.0,5.0,0.0,7.0
lux,0.0,36.0,0.0,6.861111111111111
lva,0.0,57.0,0.0,9.070175438596491
mac,0.0,5.0,0.0,26.6
maf,0.0,3.0,0.0,11.0
mco,0.0,2.0,0.0,9.5
mda,0.0,36.0,0.0,10.416666666666666
mdg,0.0,9.0,0.0,6.222222222222222
mdv,0.0,26.0,0.0,9.423076923076923
mhl,0.0,1.0,0.0,14.0
