country,clicks,impressions,ctr,position
usa,3629.0,947090.0,0.003831737216104066,25.696548374494505
gbr,562.0,127719.0,0.0044002850006655235,36.183692324556255
deu,472.0,21721.0,0.02173012292251738,26.823442751254547
can,303.0,42118.0,0.007194073792677715,20.144759960112065
aus,245.0,39159.0,0.006256543834112209,30.61955106105876
ukr,205.0,7342.0,0.027921547262326343,28.08090438572596
ind,197.0,61420.0,0.0032074242917616413,22.89641810485184
esp,131.0,10299.0,0.01271968152247791,24.60617535683076
aut,84.0,2300.0,0.036521739130434785,14.965217391304348
nld,76.0,6622.0,0.01147689519782543,25.254605859257023
fra,72.0,8926.0,0.008066323101053104,30.490365225184853
idn,72.0,10272.0,0.007009345794392523,22.52988707165109
che,62.0,2530.0,0.02450592885375494,18.036363636363635
zaf,60.0,11853.0,0.005062009617818274,24.839871762423016
irl,57.0,8347.0,0.006828800766742542,30.608362285851204
mex,56.0,10223.0,0.0054778440770810915,30.999902181355765
swe,53.0,6049.0,0.008761778806414284,26.525541411803605
bra,47.0,47831.0,0.0009826263302042608,54.08308419226025
prt,37.0,2549.0,0.014515496273048253,19.931737936445664
dnk,36.0,3478.0,0.010350776308223116,30.918343875790683
nga,36.0,9974.0,0.00360938439943854,20.068177260878283
ita,35.0,9397.0,0.0037245929551984677,41.348941151431305
gha,34.0,2543.0,0.013370035391270154,18.50334250884782
ken,33.0,5051.0,0.006533359730746387,25.18055830528608
sgp,31.0,4358.0,0.007113354749885268,28.952271684258836
nzl,30.0,4377.0,0.006854009595613434,15.231208590358694
tur,29.0,10853.0,0.0026720722380908506,19.215792868331338
mys,28.0,6308.0,0.004438807863031071,32.680881420418515
bel,27.0,1940.0,0.013917525773195877,16.65721649484536
phl,26.0,10684.0,0.002433545488581056,25.592942718083115
pol,26.0,4087.0,0.006361634450697333,23.895033031563493
hun,21.0,2123.0,0.009891662741403674,16.82147903909562
are,19.0,3840.0,0.0049479166666666664,23.9078125
arg,18.0,5559.0,0.0032379924446842958,42.322180248246084
grc,18.0,1895.0,0.00949868073878628,20.81688654353562
hkg,18.0,1694.0,0.010625737898465172,19.80224321133412
rou,18.0,2590.0,0.0069498069498069494,24.278378378378378
chl,17.0,2074.0,0.00819672131147541,29.31629701060752
cze,17.0,1622.0,0.010480887792848335,23.625154130702835
egy,17.0,3347.0,0.005079175380938153,37.485210636390796
nor,17.0,2509.0,0.006775607811877242,26.36149860502192
pak,17.0,6721.0,0.0025293855081089125,29.202648415414373
sau,17.0,3903.0,0.004355623879067384,32.68332052267486
tha,17.0,2731.0,0.006224826071036251,25.003661662394727
vnm,16.0,9968.0,0.0016051364365971107,51.53842295345105
col,15.0,4056.0,0.0036982248520710057,34.4112426035503
isr,14.0,2440.0,0.005737704918032787,36.462704918032784
per,14.0,1954.0,0.007164790174002047,27.958546571136132
bgr,13.0,1611.0,0.008069522036002483,26.494723774053384
jpn,13.0,3369.0,0.00385871178391214,30.116651825467496
rus,12.0,13550.0,0.0008856088560885609,58.62929889298893
hrv,11.0,1191.0,0.009235936188077247,14.151973131821999
fin,10.0,1730.0,0.005780346820809248,30.396531791907513
srb,10.0,1350.0,0.007407407407407408,20.965185185185184
svn,10.0,711.0,0.014064697609001406,21.80168776371308
twn,10.0,2347.0,0.004260758414997869,43.29995739241585
uga,10.0,1281.0,0.0078064012490242,12.12568306010929
alb,9.0,773.0,0.01164294954721863,29.201811125485122
tto,9.0,1472.0,0.006114130434782609,42.48777173913044
ven,9.0,1954.0,0.004605936540429887,41.2697031729785
lbn,8.0,639.0,0.012519561815336464,25.693270735524255
pri,8.0,853.0,0.009378663540445486,24.949589683470105
zwe,8.0,1226.0,0.0065252854812398045,24.17047308319739
cri,7.0,702.0,0.009971509971509971,29.021367521367523
svk,7.0,884.0,0.007918552036199095,16.90610859728507
chn,6.0,931.0,0.00644468313641246,14.122448979591837
cyp,6.0,894.0,0.006711409395973154,35.78299776286354
dom,6.0,1110.0,0.005405405405405406,33.497297297297294
ecu,6.0,2692.0,0.002228826151560178,45.22325408618128
irn,6.0,961.0,0.006243496357960458,29.8366285119667
mar,6.0,2004.0,0.0029940119760479044,42.996007984031934
mkd,6.0,428.0,0.014018691588785047,25.682242990654206
pan,6.0,622.0,0.00964630225080386,30.168810289389068
ury,6.0,781.0,0.0076824583866837385,41.65300896286812
bgd,5.0,4404.0,0.0011353315168029065,35.73955495004542
est,5.0,520.0,0.009615384615384616,24.234615384615385
eth,5.0,782.0,0.00639386189258312,21.572890025575447
gtm,5.0,595.0,0.008403361344537815,24.00672268907563
isl,5.0,413.0,0.012106537530266344,33.380145278450364
lka,5.0,1197.0,0.004177109440267335,27.118629908103593
tza,5.0,583.0,0.008576329331046312,14.716981132075471
zmb,5.0,628.0,0.007961783439490446,17.77547770700637
cub,4.0,210.0,0.01904761904761905,5.723809523809524
geo,4.0,1167.0,0.003427592116538132,40.71979434447301
irq,4.0,1858.0,0.002152852529601722,43.765877287405814
jor,4.0,1019.0,0.003925417075564278,41.33954857703631
kgz,4.0,265.0,0.01509433962264151,41.59622641509434
kor,4.0,8601.0,0.0004650622020695268,47.86373677479363
kwt,4.0,656.0,0.006097560975609756,31.211890243902438
ltu,4.0,1382.0,0.002894356005788712,43.75542691751085
