date_range,landing_page_plus_query_string,landing_page_plus_query_string_original,normalized_page_url,normalized_page_path,sessions,engaged_sessions,conversions
previous_28_days,https://international-surrogacy.com/blog/single-father-surrogacy-ghana,/blog/single-father-surrogacy-ghana,https://international-surrogacy.com/blog/single-father-surrogacy-ghana,/blog/single-father-surrogacy-ghana,9.0,3.0,0.0
previous_28_days,https://international-surrogacy.com/calculator-page,/calculator-page,https://international-surrogacy.com/calculator-page,/calculator-page,9.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/surrogacy-cost-calculator,/surrogacy-cost-calculator,https://international-surrogacy.com/surrogacy-cost-calculator,/surrogacy-cost-calculator,9.0,9.0,0.0
previous_28_days,https://international-surrogacy.com/best-surrogacy-agency-in-ukraine,/best-surrogacy-agency-in-ukraine,https://international-surrogacy.com/best-surrogacy-agency-in-ukraine,/best-surrogacy-agency-in-ukraine,8.0,5.0,0.0
previous_28_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq,/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,8.0,4.0,0.0
previous_28_days,https://international-surrogacy.com/blog/her-body-my-baby,/blog/her-body-my-baby,https://international-surrogacy.com/blog/her-body-my-baby,/blog/her-body-my-baby,8.0,5.0,0.0
previous_28_days,https://international-surrogacy.com/blog/parenthood-for-ricky-martin,/blog/parenthood-for-ricky-martin,https://international-surrogacy.com/blog/parenthood-for-ricky-martin,/blog/parenthood-for-ricky-martin,8.0,3.0,0.0
previous_28_days,https://international-surrogacy.com/blog/artificial-activization-with-calcium-ionophore,/blog/artificial-activization-with-calcium-ionophore,https://international-surrogacy.com/blog/artificial-activization-with-calcium-ionophore,/blog/artificial-activization-with-calcium-ionophore,7.0,5.0,0.0
previous_28_days,https://international-surrogacy.com/blog/blamed-women-for-infertility-286,/blog/blamed-women-for-infertility-286,https://international-surrogacy.com/blog/blamed-women-for-infertility-286,/blog/blamed-women-for-infertility-286,7.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,/blog/cheapest-surrogacy-in-usa,https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,/blog/cheapest-surrogacy-in-usa,7.0,5.0,0.0
previous_28_days,https://international-surrogacy.com/success-stories/reviews-of-ukraine,/success-stories/reviews-of-ukraine,https://international-surrogacy.com/success-stories/reviews-of-ukraine,/success-stories/reviews-of-ukraine,7.0,5.0,3.0
previous_28_days,https://international-surrogacy.com/surrogacy,/surrogacy,https://international-surrogacy.com/surrogacy,/surrogacy,7.0,3.0,0.0
previous_28_days,https://international-surrogacy.com/blog/anderson-hays-cooper,/blog/anderson-hays-cooper,https://international-surrogacy.com/blog/anderson-hays-cooper,/blog/anderson-hays-cooper,6.0,5.0,0.0
previous_28_days,https://international-surrogacy.com/blog/michelle-buteau-encouraged-surrogacy,/blog/michelle-buteau-encouraged-surrogacy,https://international-surrogacy.com/blog/michelle-buteau-encouraged-surrogacy,/blog/michelle-buteau-encouraged-surrogacy,6.0,5.0,0.0
previous_28_days,https://international-surrogacy.com/blog/risks-of-international-surrogacy,/blog/risks-of-international-surrogacy,https://international-surrogacy.com/blog/risks-of-international-surrogacy,/blog/risks-of-international-surrogacy,6.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/through-surrogacy-ricky-martin,/blog/through-surrogacy-ricky-martin,https://international-surrogacy.com/blog/through-surrogacy-ricky-martin,/blog/through-surrogacy-ricky-martin,6.0,5.0,0.0
previous_28_days,https://international-surrogacy.com/blog/where-is-surrogacy-legal-in-europe,/blog/where-is-surrogacy-legal-in-europe,https://international-surrogacy.com/blog/where-is-surrogacy-legal-in-europe,/blog/where-is-surrogacy-legal-in-europe,6.0,4.0,0.0
previous_28_days,https://international-surrogacy.com/blog/being-a-surrogate-for-a-family-member,/blog/being-a-surrogate-for-a-family-member,https://international-surrogacy.com/blog/being-a-surrogate-for-a-family-member,/blog/being-a-surrogate-for-a-family-member,5.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/blog/egg-donation-in-ukraine,/blog/egg-donation-in-ukraine,https://international-surrogacy.com/blog/egg-donation-in-ukraine,/blog/egg-donation-in-ukraine,5.0,4.0,1.0
previous_28_days,https://international-surrogacy.com/blog/gender-selection-myths-science-and-you,/blog/gender-selection-myths-science-and-you,https://international-surrogacy.com/blog/gender-selection-myths-science-and-you,/blog/gender-selection-myths-science-and-you,5.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/robbie-williams,/blog/robbie-williams,https://international-surrogacy.com/blog/robbie-williams,/blog/robbie-williams,5.0,2.0,0.0
