country,clicks,impressions,ctr,position
cub,2.0,130.0,0.015384615384615385,4.13076923076923
cyp,2.0,205.0,0.00975609756097561,7.639024390243902
est,2.0,170.0,0.011764705882352941,9.470588235294118
gtm,2.0,234.0,0.008547008547008548,7.786324786324786
khm,2.0,132.0,0.015151515151515152,8.401515151515152
lva,2.0,161.0,0.012422360248447204,9.472049689440993
mkd,2.0,141.0,0.014184397163120567,6.74468085106383
mlt,2.0,181.0,0.011049723756906077,7.044198895027624
mwi,2.0,84.0,0.023809523809523808,6.071428571428571
png,2.0,62.0,0.03225806451612903,4.725806451612903
pry,2.0,213.0,0.009389671361502348,7.488262910798122
sau,2.0,1090.0,0.001834862385321101,13.619266055045872
zmb,2.0,214.0,0.009345794392523364,6.5327102803738315
ago,1.0,53.0,0.018867924528301886,19.67924528301887
aze,1.0,131.0,0.007633587786259542,10.091603053435115
bhr,1.0,95.0,0.010526315789473684,8.694736842105264
bol,1.0,134.0,0.007462686567164179,10.41044776119403
civ,1.0,45.0,0.022222222222222223,19.91111111111111
cym,1.0,34.0,0.029411764705882353,6.852941176470588
dza,1.0,526.0,0.0019011406844106464,10.847908745247148
eth,1.0,213.0,0.004694835680751174,6.685446009389671
geo,1.0,399.0,0.002506265664160401,32.197994987468675
ggy,1.0,16.0,0.0625,6.4375
gib,1.0,18.0,0.05555555555555555,7.222222222222222
guy,1.0,79.0,0.012658227848101266,13.658227848101266
imn,1.0,35.0,0.02857142857142857,3.657142857142857
irn,1.0,264.0,0.003787878787878788,7.481060606060606
irq,1.0,320.0,0.003125,10.865625
jam,1.0,302.0,0.0033112582781456954,6.7947019867549665
kaz,1.0,158.0,0.006329113924050633,11.841772151898734
kor,1.0,1268.0,0.0007886435331230284,11.63801261829653
ltu,1.0,241.0,0.004149377593360996,10.16597510373444
mrt,1.0,15.0,0.06666666666666667,12.2
nic,1.0,78.0,0.01282051282051282,5.9743589743589745
npl,1.0,363.0,0.0027548209366391185,8.30853994490358
omn,1.0,197.0,0.005076142131979695,14.401015228426395
pse,1.0,82.0,0.012195121951219513,8.195121951219512
qat,1.0,247.0,0.004048582995951417,9.530364372469636
sle,1.0,41.0,0.024390243902439025,6.317073170731708
som,1.0,38.0,0.02631578947368421,5.5
sur,1.0,25.0,0.04,2.3200000000000003
svn,1.0,209.0,0.004784688995215311,8.492822966507177
tkm,1.0,23.0,0.043478260869565216,3.0869565217391304
tun,1.0,165.0,0.006060606060606061,10.472727272727273
tza,1.0,253.0,0.003952569169960474,5.687747035573122
uzb,1.0,147.0,0.006802721088435374,8.07482993197279
wsm,1.0,4.0,0.25,6.0
yem,1.0,36.0,0.027777777777777776,4.333333333333334
abw,0.0,21.0,0.0,3.8095238095238093
afg,0.0,43.0,0.0,10.44186046511628
aia,0.0,5.0,0.0,4.6
ala,0.0,4.0,0.0,5.75
and,0.0,16.0,0.0,21.375
arm,0.0,197.0,0.0,32.42639593908629
asm,0.0,1.0,0.0,1.0
atg,0.0,23.0,0.0,7.913043478260869
bdi,0.0,6.0,0.0,2.5
ben,0.0,13.0,0.0,6.461538461538462
bes,0.0,5.0,0.0,6.4
bfa,0.0,17.0,0.0,25.647058823529413
bhs,0.0,90.0,0.0,8.088888888888889
bih,0.0,158.0,0.0,8.740506329113924
blm,0.0,1.0,0.0,1.0
blr,0.0,121.0,0.0,10.256198347107437
blz,0.0,52.0,0.0,8.76923076923077
bmu,0.0,22.0,0.0,4.681818181818182
brb,0.0,85.0,0.0,5.741176470588235
brn,0.0,40.0,0.0,10.025
btn,0.0,27.0,0.0,7.888888888888889
caf,0.0,3.0,0.0,1.3333333333333333
chn,0.0,521.0,0.0,8.26295585412668
cmr,0.0,117.0,0.0,8.256410256410255
cod,0.0,43.0,0.0,4.395348837209302
cog,0.0,4.0,0.0,5.25
cok,0.0,5.0,0.0,10.8
cpv,0.0,9.0,0.0,6.333333333333333
cuw,0.0,19.0,0.0,6.2105263157894735
dji,0.0,12.0,0.0,9.416666666666666
dma,0.0,6.0,0.0,10.333333333333334
eri,0.0,2.0,0.0,1.0
esh,0.0,3.0,0.0,13.333333333333334
fji,0.0,39.0,0.0,4.948717948717949
flk,0.0,1.0,0.0,11.0
fro,0.0,10.0,0.0,5.5
fsm,0.0,1.0,0.0,3.0
gab,0.0,11.0,0.0,16.636363636363637
gin,0.0,11.0,0.0,3.727272727272727
glp,0.0,1.0,0.0,18.0
gmb,0.0,14.0,0.0,6.928571428571429
gnb,0.0,2.0,0.0,48.0
gnq,0.0,6.0,0.0,4.5
grd,0.0,27.0,0.0,7.518518518518518
grl,0.0,3.0,0.0,5.333333333333333
guf,0.0,2.0,0.0,3.0
gum,0.0,35.0,0.0,4.142857142857142
hnd,0.0,170.0,0.0,9.282352941176471
hti,0.0,18.0,0.0,5.055555555555555
jey,0.0,47.0,0.0,4.340425531914894
kir,0.0,2.0,0.0,2.0
kna,0.0,13.0,0.0,12.23076923076923
kwt,0.0,165.0,0.0,7.8969696969696965
lao,0.0,21.0,0.0,9.904761904761905
lbr,0.0,45.0,0.0,4.222222222222222
lby,0.0,70.0,0.0,7.185714285714286
lca,0.0,32.0,0.0,6.34375
lie,0.0,6.0,0.0,56.0
lso,0.0,23.0,0.0,3.4782608695652173
lux,0.0,111.0,0.0,10.495495495495495
mac,0.0,16.0,0.0,9.9375
maf,0.0,6.0,0.0,8.333333333333332
mco,0.0,6.0,0.0,4.333333333333334
mda,0.0,104.0,0.0,11.39423076923077
mdg,0.0,14.0,0.0,6.714285714285714
mdv,0.0,73.0,0.0,5.808219178082192
mhl,0.0,1.0,0.0,14.0
mli,0.0,8.0,0.0,4.625
mmr,0.0,91.0,0.0,12.54945054945055
mne,0.0,65.0,0.0,7.661538461538462
mng,0.0,65.0,0.0,9.123076923076923
mnp,0.0,11.0,0.0,7.0
moz,0.0,69.0,0.0,5.333333333333333
msr,0.0,1.0,0.0,4.0
mtq,0.0,11.0,0.0,11.181818181818182
mus,0.0,125.0,0.0,11.848
myt,0.0,2.0,0.0,15.0
nam,0.0,115.0,0.0,4.678260869565218
ncl,0.0,2.0,0.0,7.5
ner,0.0,4.0,0.0,13.0
nru,0.0,1.0,0.0,13.0
plw,0.0,4.0,0.0,6.5
prk,0.0,1.0,0.0,1.0
pyf,0.0,4.0,0.0,8.25
reu,0.0,13.0,0.0,10.076923076923077
rwa,0.0,68.0,0.0,4.5588235294117645
sdn,0.0,23.0,0.0,7.6521739130434785
sen,0.0,51.0,0.0,10.803921568627452
slb,0.0,2.0,0.0,5.0
slv,0.0,101.0,0.0,6.96039603960396
smr,0.0,2.0,0.0,3.0
ssd,0.0,20.0,0.0,6.45
swz,0.0,37.0,0.0,5.621621621621622
sxm,0.0,11.0,0.0,10.636363636363637
syc,0.0,69.0,0.0,8.217391304347826
syr,0.0,89.0,0.0,6.775280898876405
tca,0.0,18.0,0.0,6.777777777777778
tcd,0.0,2.0,0.0,19.0
tgo,0.0,12.0,0.0,14.833333333333334
tjk,0.0,11.0,0.0,4.909090909090909
tls,0.0,2.0,0.0,1.5
vct,0.0,8.0,0.0,2.125
vgb,0.0,16.0,0.0,5.75
vir,0.0,36.0,0.0,6.305555555555555
vut,0.0,6.0,0.0,6.333333333333333
xkk,0.0,50.0,0.0,6.92
zzz,0.0,63.0,0.0,9.317460317460318
