country,clicks,impressions,ctr,position
usa,470.0,106023.0,0.004433000386708544,9.93531592201692
gbr,59.0,12435.0,0.004744672295938882,18.980699638118214
deu,50.0,2014.0,0.024826216484607744,8.915590863952334
ind,34.0,7234.0,0.004700027647221454,6.923831904893558
esp,27.0,1287.0,0.02097902097902098,6.90986790986791
ukr,26.0,595.0,0.043697478991596636,6.857142857142857
can,24.0,4334.0,0.0055376095985233045,6.548915551453622
aus,23.0,2925.0,0.007863247863247864,9.987350427350428
fra,11.0,833.0,0.013205282112845138,7.907563025210084
mex,11.0,1214.0,0.009060955518945634,11.550247116968698
vnm,11.0,413.0,0.026634382566585957,14.106537530266344
nga,10.0,1184.0,0.008445945945945946,5.484797297297297
zaf,10.0,899.0,0.011123470522803115,7.092324805339266
aut,9.0,251.0,0.035856573705179286,6.326693227091633
nld,8.0,475.0,0.016842105263157894,7.221052631578948
prt,8.0,334.0,0.023952095808383235,6.889221556886228
bra,7.0,2217.0,0.0031574199368516014,8.911141181777175
swe,7.0,446.0,0.01569506726457399,6.699551569506727
idn,6.0,1176.0,0.00510204081632653,6.816326530612245
arg,5.0,540.0,0.009259259259259259,8.212962962962962
che,5.0,274.0,0.01824817518248175,7.273722627737226
cze,5.0,176.0,0.028409090909090908,7.7272727272727275
gha,5.0,285.0,0.017543859649122806,7.480701754385965
mys,5.0,497.0,0.01006036217303823,5.837022132796781
pak,5.0,454.0,0.011013215859030838,9.41409691629956
phl,5.0,902.0,0.005543237250554324,8.444567627494457
dnk,4.0,227.0,0.01762114537444934,7.845814977973569
dom,4.0,120.0,0.03333333333333333,5.891666666666667
ita,4.0,690.0,0.005797101449275362,6.523188405797101
ken,4.0,477.0,0.008385744234800839,4.733752620545074
pol,4.0,405.0,0.009876543209876543,7.212345679012346
pri,4.0,74.0,0.05405405405405406,7.445945945945946
tur,4.0,522.0,0.007662835249042145,7.164750957854406
col,3.0,509.0,0.005893909626719057,8.459724950884087
egy,3.0,232.0,0.01293103448275862,16.060344827586206
irl,3.0,446.0,0.006726457399103139,6.6008968609865475
srb,3.0,131.0,0.022900763358778626,5.847328244274809
bel,2.0,203.0,0.009852216748768473,5.862068965517241
cri,2.0,77.0,0.025974025974025976,8.7012987012987
est,2.0,45.0,0.044444444444444446,9.444444444444445
hrv,2.0,112.0,0.017857142857142856,4.116071428571429
isr,2.0,158.0,0.012658227848101266,10.208860759493671
mar,2.0,110.0,0.01818181818181818,8.572727272727272
mkd,2.0,44.0,0.045454545454545456,4.977272727272727
per,2.0,296.0,0.006756756756756757,6.706081081081081
sgp,2.0,451.0,0.004434589800443459,17.33259423503326
svk,2.0,97.0,0.020618556701030927,4.628865979381443
tha,2.0,318.0,0.006289308176100629,6.889937106918239
tto,2.0,78.0,0.02564102564102564,3.6666666666666665
ury,2.0,65.0,0.03076923076923077,6.246153846153846
alb,1.0,73.0,0.0136986301369863,7.109589041095891
bgr,1.0,158.0,0.006329113924050633,7.4113924050632916
bhr,1.0,26.0,0.038461538461538464,11.461538461538462
bwa,1.0,15.0,0.06666666666666667,3.2
chl,1.0,290.0,0.0034482758620689655,8.024137931034483
civ,1.0,9.0,0.1111111111111111,13.222222222222221
dza,1.0,114.0,0.008771929824561403,10.605263157894736
ecu,1.0,221.0,0.004524886877828055,8.484162895927602
gib,1.0,8.0,0.125,6.5
grc,1.0,177.0,0.005649717514124294,4.875706214689266
guy,1.0,29.0,0.034482758620689655,4.827586206896552
hkg,1.0,282.0,0.0035460992907801418,7.01063829787234
imn,1.0,8.0,0.125,4.5
isl,1.0,26.0,0.038461538461538464,4.538461538461538
jor,1.0,45.0,0.022222222222222223,6.711111111111111
jpn,1.0,263.0,0.0038022813688212928,6.395437262357414
kaz,1.0,47.0,0.02127659574468085,11.638297872340425
kgz,1.0,14.0,0.07142857142857142,3.142857142857143
lka,1.0,131.0,0.007633587786259542,4.961832061068702
lva,1.0,52.0,0.019230769230769232,5.961538461538462
mlt,1.0,57.0,0.017543859649122806,7.578947368421052
mrt,1.0,3.0,0.3333333333333333,3.0
mwi,1.0,26.0,0.038461538461538464,8.576923076923077
nzl,1.0,313.0,0.003194888178913738,8.49520766773163
png,1.0,24.0,0.041666666666666664,2.833333333333333
pry,1.0,89.0,0.011235955056179775,6.640449438202247
pse,1.0,23.0,0.043478260869565216,6.304347826086956
rou,1.0,292.0,0.003424657534246575,8.832191780821919
rus,1.0,218.0,0.0045871559633027525,6.08256880733945
sle,1.0,7.0,0.14285714285714285,2.142857142857143
som,1.0,10.0,0.1,1.7
uga,1.0,141.0,0.0070921985815602835,4.283687943262411
ven,1.0,148.0,0.006756756756756757,6.648648648648648
wsm,1.0,2.0,0.5,5.5
yem,1.0,15.0,0.06666666666666667,4.333333333333334
zmb,1.0,49.0,0.02040816326530612,7.530612244897959
zwe,1.0,71.0,0.014084507042253521,6.112676056338028
abw,0.0,5.0,0.0,3.2
afg,0.0,11.0,0.0,16.363636363636363
ago,0.0,17.0,0.0,24.764705882352942
aia,0.0,1.0,0.0,1.0
and,0.0,5.0,0.0,7.6
are,0.0,254.0,0.0,9.338582677165354
arm,0.0,26.0,0.0,6.769230769230769
atg,0.0,10.0,0.0,5.8
aze,0.0,22.0,0.0,5.2727272727272725
bdi,0.0,3.0,0.0,2.333333333333333
ben,0.0,2.0,0.0,6.5
bes,0.0,1.0,0.0,8.0
bfa,0.0,8.0,0.0,41.25
bgd,0.0,392.0,0.0,6.540816326530612
bhs,0.0,31.0,0.0,9.03225806451613
bih,0.0,53.0,0.0,9.226415094339623
blr,0.0,32.0,0.0,3.71875
blz,0.0,14.0,0.0,9.857142857142858
bmu,0.0,5.0,0.0,4.6
bol,0.0,48.0,0.0,9.6875
brb,0.0,23.0,0.0,6.521739130434782
brn,0.0,9.0,0.0,8.777777777777779
btn,0.0,8.0,0.0,5.5
chn,0.0,285.0,0.0,7.484210526315789
cmr,0.0,37.0,0.0,6.027027027027027
cod,0.0,14.0,0.0,2.142857142857143
cog,0.0,2.0,0.0,2.0
cok,0.0,1.0,0.0,12.0
cpv,0.0,1.0,0.0,8.0
cub,0.0,43.0,0.0,3.813953488372093
cuw,0.0,12.0,0.0,5.666666666666667
cym,0.0,6.0,0.0,1.8333333333333335
cyp,0.0,51.0,0.0,6.9411764705882355
dji,0.0,4.0,0.0,2.75
dma,0.0,3.0,0.0,13.333333333333334
eri,0.0,2.0,0.0,1.0
esh,0.0,1.0,0.0,2.0
eth,0.0,73.0,0.0,4.726027397260274
fin,0.0,121.0,0.0,4.206611570247934
fji,0.0,7.0,0.0,7.428571428571429
fro,0.0,4.0,0.0,5.75
gab,0.0,2.0,0.0,10.0
geo,0.0,117.0,0.0,27.495726495726494
ggy,0.0,5.0,0.0,3.6
gin,0.0,3.0,0.0,1.6666666666666665
gmb,0.0,7.0,0.0,6.571428571428571
gnq,0.0,4.0,0.0,3.0
grd,0.0,10.0,0.0,3.2
