date_range,landing_page_plus_query_string,landing_page_plus_query_string_original,normalized_page_url,normalized_page_path,sessions,engaged_sessions,conversions
last_365_days,https://international-surrogacy.com/,/,https://international-surrogacy.com/,/,4365.0,2558.0,375.0
last_365_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,1441.0,822.0,1.0
last_365_days,https://international-surrogacy.com/blog/egg-retrieval-after-hysterectomy,/blog/egg-retrieval-after-hysterectomy,https://international-surrogacy.com/blog/egg-retrieval-after-hysterectomy,/blog/egg-retrieval-after-hysterectomy,852.0,529.0,7.0
last_365_days,(not set),(not set),,,694.0,20.0,10.0
last_365_days,https://international-surrogacy.com/blog/understanding-the-benefits-of-surrogacy,/blog/understanding-the-benefits-of-surrogacy,https://international-surrogacy.com/blog/understanding-the-benefits-of-surrogacy,/blog/understanding-the-benefits-of-surrogacy,630.0,140.0,0.0
last_365_days,https://international-surrogacy.com/blog/why-did-paris-hilton-use-a-surrogate,/blog/why-did-paris-hilton-use-a-surrogate,https://international-surrogacy.com/blog/why-did-paris-hilton-use-a-surrogate,/blog/why-did-paris-hilton-use-a-surrogate,600.0,335.0,1.0
last_365_days,https://international-surrogacy.com/deutsch,/deutsch,https://international-surrogacy.com/deutsch,/deutsch,389.0,283.0,56.0
last_365_days,https://international-surrogacy.com/blog/two-sons,/blog/two-sons,https://international-surrogacy.com/blog/two-sons,/blog/two-sons,385.0,204.0,0.0
last_365_days,https://international-surrogacy.com/blog/nicole-kidman-and-keith-urban,/blog/nicole-kidman-and-keith-urban,https://international-surrogacy.com/blog/nicole-kidman-and-keith-urban,/blog/nicole-kidman-and-keith-urban,302.0,232.0,0.0
last_365_days,https://international-surrogacy.com/blog/emma-weymouth,/blog/emma-weymouth,https://international-surrogacy.com/blog/emma-weymouth,/blog/emma-weymouth,228.0,135.0,1.0
last_365_days,https://international-surrogacy.com/cost-of-surrogacy-in-ukraine,/cost-of-surrogacy-in-ukraine,https://international-surrogacy.com/cost-of-surrogacy-in-ukraine,/cost-of-surrogacy-in-ukraine,209.0,79.0,14.0
last_365_days,https://international-surrogacy.com/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,https://international-surrogacy.com/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,205.0,117.0,2.0
last_365_days,https://international-surrogacy.com/us,/us,https://international-surrogacy.com/us,/us,174.0,84.0,19.0
last_365_days,https://international-surrogacy.com/blog/cameron-diaz-and-benji-madden,/blog/cameron-diaz-and-benji-madden,https://international-surrogacy.com/blog/cameron-diaz-and-benji-madden,/blog/cameron-diaz-and-benji-madden,168.0,68.0,0.0
last_365_days,https://international-surrogacy.com/blog/priyanka-chopra-chooses-surrogacy,/blog/priyanka-chopra-chooses-surrogacy,https://international-surrogacy.com/blog/priyanka-chopra-chooses-surrogacy,/blog/priyanka-chopra-chooses-surrogacy,167.0,74.0,0.0
last_365_days,https://international-surrogacy.com/blog/ellen-kathleen-pompeo,/blog/ellen-kathleen-pompeo,https://international-surrogacy.com/blog/ellen-kathleen-pompeo,/blog/ellen-kathleen-pompeo,161.0,118.0,0.0
last_365_days,https://international-surrogacy.com/blog,/blog,https://international-surrogacy.com/blog,/blog,154.0,63.0,16.0
last_365_days,https://international-surrogacy.com/surrogacy,/surrogacy,https://international-surrogacy.com/surrogacy,/surrogacy,148.0,62.0,2.0
last_365_days,https://international-surrogacy.com/surrogacy-ukraine-price,/surrogacy-ukraine-price,https://international-surrogacy.com/surrogacy-ukraine-price,/surrogacy-ukraine-price,138.0,54.0,8.0
last_365_days,https://international-surrogacy.com/blog/from-angelina-jolie-to-neil-patrick-harris-celebrities-who-chose-surrogacy,/blog/from-angelina-jolie-to-neil-patrick-harris-celebrities-who-chose-surrogacy,https://international-surrogacy.com/blog/from-angelina-jolie-to-neil-patrick-harris-celebrities-who-chose-surrogacy,/blog/from-angelina-jolie-to-neil-patrick-harris-celebrities-who-chose-surrogacy,113.0,69.0,0.0
last_365_days,https://international-surrogacy.com/calculator-page,/calculator-page,https://international-surrogacy.com/calculator-page,/calculator-page,104.0,43.0,2.0
last_365_days,https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,/blog/cheapest-surrogacy-in-usa,https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,/blog/cheapest-surrogacy-in-usa,100.0,63.0,2.0
