device,clicks,impressions,ctr,position
MOBILE,727.0,103760.0,0.007006553585196608,7.921858134155744
DESKTOP,155.0,53128.0,0.0029174823068814936,21.024111579581387
TABLET,17.0,5861.0,0.0029005289199795256,9.883296365807883
